Date,InvoiceID,DistributorID,SalespersonID,OutletID,ProductID,Quantity,UnitPrice,DiscountPct,DiscountAmount,GrossSales,NetSales,UnitCOGS,TotalCOGS
2026-07-24,INV0059507,DST001,SP001,OUT00001,BV008,18,10000,0.0549,9882,180000,170118,6000,108000
2026-07-02,INV0059508,DST001,SP002,OUT00002,BV014,12,10000,0.0213,2556,120000,117444,6000,72000
2026-07-02,INV0059508,DST001,SP002,OUT00002,BV001,12,7500,0.0417,3753,90000,86247,4600,55200
2026-07-02,INV0059508,DST001,SP002,OUT00002,BV002,12,7500,0.0271,2439,90000,87561,4700,56400
2026-07-29,INV0059509,DST001,SP003,OUT00003,PC012,18,6500,0.0589,6891,117000,110109,3800,68400
2026-07-29,INV0059509,DST001,SP003,OUT00003,BV002,36,7500,0.0843,22761,270000,247239,4700,169200
2026-07-24,INV0059510,DST001,SP004,OUT00004,BV015,12,10000,0.0154,1848,120000,118152,6100,73200
2026-07-24,INV0059510,DST001,SP004,OUT00004,SN011,6,8500,0.0183,933,51000,50067,5000,30000
2026-07-19,INV0059511,DST001,SP005,OUT00005,PC012,6,6500,0.0329,1283,39000,37717,3800,22800
2026-07-17,INV0059512,DST001,SP002,OUT00007,SN012,36,8500,0.0398,12179,306000,293821,5000,180000
2026-07-17,INV0059512,DST001,SP002,OUT00007,PC007,36,17000,0.0217,13280,612000,598720,9900,356400
2026-07-02,INV0059513,DST001,SP003,OUT00008,SN008,24,9500,0.0306,6977,228000,221023,5600,134400
2026-07-02,INV0059513,DST001,SP003,OUT00008,PC013,42,7000,0.0427,12554,294000,281446,4000,168000
2026-07-02,INV0059513,DST001,SP003,OUT00008,SN001,18,9000,0.0291,4714,162000,157286,5300,95400
2026-07-21,INV0059514,DST001,SP004,OUT00009,PC006,54,15000,0.0916,74196,810000,735804,8700,469800
2026-07-27,INV0059515,DST001,SP005,OUT00010,BV001,12,7500,0.0367,3303,90000,86697,4600,55200
2026-07-27,INV0059515,DST001,SP005,OUT00010,BV015,12,10000,0.0486,5832,120000,114168,6100,73200
2026-07-09,INV0059516,DST001,SP001,OUT00011,SN014,12,10000,0.0394,4728,120000,115272,5900,70800
2026-07-09,INV0059516,DST001,SP001,OUT00011,PC007,6,17000,0.0264,2693,102000,99307,9900,59400
2026-07-20,INV0059517,DST001,SP002,OUT00012,BV014,12,10000,0.0502,6024,120000,113976,6000,72000
2026-07-12,INV0059518,DST001,SP003,OUT00013,BV001,24,7500,0.0434,7812,180000,172188,4600,110400
2026-07-02,INV0059519,DST001,SP005,OUT00015,SN014,36,10000,0.1024,36864,360000,323136,5900,212400
2026-07-19,INV0059520,DST001,SP001,OUT00016,SN004,6,9500,0.0052,296,57000,56704,5700,34200
2026-07-21,INV0059521,DST001,SP002,OUT00017,BV001,18,7500,0.0611,8248,135000,126752,4600,82800
2026-07-21,INV0059521,DST001,SP002,OUT00017,PC013,12,7000,0.0455,3822,84000,80178,4000,48000
2026-07-03,INV0059522,DST001,SP003,OUT00018,BV003,24,8000,0.0592,11366,192000,180634,4900,117600
2026-07-03,INV0059522,DST001,SP003,OUT00018,BV008,24,10000,0.031,7440,240000,232560,6000,144000
2026-07-18,INV0059523,DST001,SP004,OUT00019,PC011,168,6500,0.0975,106470,1092000,985530,3700,621600
