Date,InvoiceID,DistributorID,SalespersonID,OutletID,ProductID,Quantity,UnitPrice,DiscountPct,DiscountAmount,GrossSales,NetSales,UnitCOGS,TotalCOGS
2025-04-11,INV0010089,DST001,SP002,OUT00002,BV010,12,11000,0.0658,8686,132000,123314,6700,80400
2025-04-27,INV0010090,DST001,SP003,OUT00003,SN007,42,9500,0.0587,23421,399000,375579,5700,239400
2025-04-27,INV0010090,DST001,SP003,OUT00003,PC004,60,24000,0.09,129600,1440000,1310400,14300,858000
2025-04-25,INV0010091,DST001,SP005,OUT00005,PC012,12,6500,0.0402,3136,78000,74864,3800,45600
2025-04-15,INV0010092,DST001,SP002,OUT00007,PC005,12,25000,0.0005,150,300000,299850,14800,177600
2025-04-21,INV0010093,DST001,SP003,OUT00008,BV008,18,10000,0.0378,6804,180000,173196,6000,108000
2025-04-21,INV0010093,DST001,SP003,OUT00008,SN012,36,8500,0.0351,10741,306000,295259,5000,180000
2025-04-08,INV0010094,DST001,SP004,OUT00009,SN010,60,10500,0.1061,66843,630000,563157,6300,378000
2025-04-18,INV0010095,DST001,SP005,OUT00010,BV002,6,7500,0.0086,387,45000,44613,4700,28200
2025-04-26,INV0010096,DST001,SP001,OUT00011,BV007,24,10000,0.0253,6072,240000,233928,6100,146400
2025-04-16,INV0010097,DST001,SP002,OUT00012,SN006,24,10000,0.0323,7752,240000,232248,6000,144000
2025-04-16,INV0010097,DST001,SP002,OUT00012,BV008,30,10000,0.0511,15330,300000,284670,6000,180000
2025-04-27,INV0010098,DST001,SP004,OUT00014,PC002,36,22000,0.045,35640,792000,756360,13200,475200
2025-04-19,INV0010099,DST001,SP005,OUT00015,PC001,30,22000,0.0635,41910,660000,618090,13000,390000
2025-04-19,INV0010099,DST001,SP005,OUT00015,SN014,42,10000,0.0743,31206,420000,388794,5900,247800
2025-04-09,INV0010100,DST001,SP001,OUT00016,BV006,18,9500,0.0014,239,171000,170761,5800,104400
2025-04-09,INV0010100,DST001,SP001,OUT00016,BV002,6,7500,0.043,1935,45000,43065,4700,28200
2025-04-03,INV0010101,DST001,SP002,OUT00017,BV008,24,10000,0.0424,10176,240000,229824,6000,144000
