Date,InvoiceID,DistributorID,SalespersonID,OutletID,ProductID,Quantity,UnitPrice,DiscountPct,DiscountAmount,GrossSales,NetSales,UnitCOGS,TotalCOGS
2026-10-29,INV0069113,DST001,SP002,OUT00002,BV008,30,10000,0.0208,6240,300000,293760,6000,180000
2026-10-20,INV0069114,DST001,SP003,OUT00003,SN013,18,8000,0.1179,16978,144000,127022,4700,84600
2026-10-16,INV0069115,DST001,SP005,OUT00005,PC013,30,7000,0.0383,8043,210000,201957,4000,120000
2026-10-16,INV0069115,DST001,SP005,OUT00005,PC004,24,24000,0.0312,17971,576000,558029,14300,343200
2026-10-18,INV0069116,DST001,SP001,OUT00006,BV010,6,11000,0.0137,904,66000,65096,6700,40200
2026-10-18,INV0069116,DST001,SP001,OUT00006,BV014,12,10000,0.0212,2544,120000,117456,6000,72000
2026-10-18,INV0069116,DST001,SP001,OUT00006,SN003,6,9500,0.0214,1220,57000,55780,5600,33600
2026-10-16,INV0069117,DST001,SP002,OUT00007,PC003,12,23000,0.0176,4858,276000,271142,13700,164400
2026-10-06,INV0069118,DST001,SP003,OUT00008,BV002,42,7500,0.0409,12884,315000,302116,4700,197400
2026-10-06,INV0069118,DST001,SP003,OUT00008,BV013,24,9500,0.0247,5632,228000,222368,5800,139200
2026-10-13,INV0069119,DST001,SP004,OUT00009,SN014,42,10000,0.083,34860,420000,385140,5900,247800
2026-10-02,INV0069120,DST001,SP005,OUT00010,SN002,12,9000,0.0044,475,108000,107525,5400,64800
2026-10-02,INV0069120,DST001,SP005,OUT00010,PC006,12,15000,0.0296,5328,180000,174672,8700,104400
2026-10-19,INV0069121,DST001,SP001,OUT00011,BV013,6,9500,0.0038,217,57000,56783,5800,34800
2026-10-20,INV0069122,DST001,SP003,OUT00013,SN014,18,10000,0.0441,7938,180000,172062,5900,106200
2026-10-01,INV0069123,DST001,SP004,OUT00014,BV005,36,8500,0.044,13464,306000,292536,5100,183600
2026-10-01,INV0069123,DST001,SP004,OUT00014,SN009,42,11000,0.0395,18249,462000,443751,6500,273000
2026-10-01,INV0069123,DST001,SP004,OUT00014,BV010,18,11000,0.0759,15028,198000,182972,6700,120600
2026-10-18,INV0069124,DST001,SP005,OUT00015,SN009,54,11000,0.0635,37719,594000,556281,6500,351000
2026-10-18,INV0069124,DST001,SP005,OUT00015,PC004,42,24000,0.1115,112392,1008000,895608,14300,600600
2026-10-18,INV0069124,DST001,SP005,OUT00015,PC011,24,6500,0.0562,8767,156000,147233,3700,88800
2026-10-04,INV0069125,DST001,SP001,OUT00016,BV001,18,7500,0.0399,5386,135000,129614,4600,82800
