Date,InvoiceID,DistributorID,SalespersonID,OutletID,ProductID,Quantity,UnitPrice,DiscountPct,DiscountAmount,GrossSales,NetSales,UnitCOGS,TotalCOGS
2026-04-03,INV0050145,DST001,SP002,OUT00002,BV003,24,8000,0.0544,10445,192000,181555,4900,117600
2026-04-03,INV0050145,DST001,SP002,OUT00002,BV012,24,9000,0.0495,10692,216000,205308,5500,132000
2026-04-29,INV0050146,DST001,SP003,OUT00003,PC004,24,24000,0.0753,43373,576000,532627,14300,343200
2026-04-29,INV0050146,DST001,SP003,OUT00003,SN001,18,9000,0.0778,12604,162000,149396,5300,95400
2026-04-20,INV0050147,DST001,SP004,OUT00004,BV003,12,8000,0.0491,4714,96000,91286,4900,58800
2026-04-20,INV0050147,DST001,SP004,OUT00004,SN006,12,10000,0.0351,4212,120000,115788,6000,72000
2026-04-25,INV0050148,DST001,SP001,OUT00006,SN010,12,10500,0.0495,6237,126000,119763,6300,75600
2026-04-25,INV0050148,DST001,SP001,OUT00006,BV010,6,11000,0.0304,2006,66000,63994,6700,40200
2026-04-05,INV0050149,DST001,SP002,OUT00007,SN005,6,9500,0.0289,1647,57000,55353,5600,33600
2026-04-05,INV0050149,DST001,SP002,OUT00007,PC005,24,25000,0.0125,7500,600000,592500,14800,355200
2026-04-03,INV0050150,DST001,SP002,OUT00012,BV005,12,8500,0.0682,6956,102000,95044,5100,61200
2026-04-03,INV0050150,DST001,SP002,OUT00012,PC011,30,6500,0.0659,12850,195000,182150,3700,111000
2026-04-16,INV0050151,DST001,SP003,OUT00013,SN010,12,10500,0.0399,5027,126000,120973,6300,75600
2026-04-16,INV0050151,DST001,SP003,OUT00013,BV014,30,10000,0.0458,13740,300000,286260,6000,180000
2026-04-19,INV0050152,DST001,SP004,OUT00014,BV009,24,9000,0.0786,16978,216000,199022,5300,127200
2026-04-19,INV0050153,DST001,SP005,OUT00015,BV002,54,7500,0.0878,35559,405000,369441,4700,253800
2026-04-19,INV0050153,DST001,SP005,OUT00015,BV001,24,7500,0.0708,12744,180000,167256,4600,110400
2026-04-24,INV0050154,DST001,SP001,OUT00016,BV014,18,10000,0.04,7200,180000,172800,6000,108000
2026-04-22,INV0050155,DST001,SP002,OUT00017,BV006,30,9500,0.0681,19408,285000,265592,5800,174000
2026-04-22,INV0050155,DST001,SP002,OUT00017,SN003,24,9500,0.0553,12608,228000,215392,5600,134400
2026-04-27,INV0050156,DST001,SP004,OUT00019,PC003,216,23000,0.0875,434700,4968000,4533300,13700,2959200
2026-04-27,INV0050156,DST001,SP004,OUT00019,SN004,192,9500,0.1187,216509,1824000,1607491,5700,1094400
2026-04-27,INV0050156,DST001,SP004,OUT00019,BV015,90,10000,0.0958,86220,900000,813780,6100,549000
2026-04-15,INV0050157,DST001,SP005,OUT00020,PC002,24,22000,0.0752,39706,528000,488294,13200,316800
2026-04-22,INV0050158,DST001,SP001,OUT00021,PC006,42,15000,0.0692,43596,630000,586404,8700,365400
2026-04-27,INV0050159,DST001,SP003,OUT00023,SN006,12,10000,0.0481,5772,120000,114228,6000,72000
2026-04-27,INV0050159,DST001,SP003,OUT00023,SN008,12,9500,0.0078,889,114000,113111,5600,67200
2026-04-16,INV0050160,DST001,SP004,OUT00024,BV010,36,11000,0.0533,21107,396000,374893,6700,241200
2026-04-16,INV0050160,DST001,SP004,OUT00024,SN010,30,10500,0.0663,20884,315000,294116,6300,189000
2026-04-21,INV0050161,DST001,SP005,OUT00025,BV001,12,7500,0.052,4680,90000,85320,4600,55200
2026-04-21,INV0050161,DST001,SP005,OUT00025,BV011,24,9000,0.0626,13522,216000,202478,5500,132000
2026-04-13,INV0050162,DST001,SP002,OUT00027,SN010,48,10500,0.0926,46670,504000,457330,6300,302400
2026-04-09,INV0050163,DST001,SP003,OUT00028,BV006,12,9500,0.0347,3956,114000,110044,5800,69600
2026-04-03,INV0050164,DST001,SP004,OUT00029,SN006,12,10000,0.0162,1944,120000,118056,6000,72000
2026-04-03,INV0050164,DST001,SP004,OUT00029,BV008,6,10000,0.0213,1278,60000,58722,6000,36000
2026-04-03,INV0050164,DST001,SP004,OUT00029,BV002,24,7500,0.014,2520,180000,177480,4700,112800
2026-04-09,INV0050165,DST001,SP005,OUT00030,BV006,24,9500,0.0357,8140,228000,219860,5800,139200
2026-04-09,INV0050165,DST001,SP005,OUT00030,SN004,12,9500,0.036,4104,114000,109896,5700,68400
2026-04-14,INV0050166,DST001,SP001,OUT00031,BV001,96,7500,0.0902,64944,720000,655056,4600,441600
2026-04-14,INV0050166,DST001,SP001,OUT00031,SN003,96,9500,0.1081,98587,912000,813413,5600,537600
2026-04-29,INV0050167,DST001,SP002,OUT00032,PC012,54,6500,0.0617,21657,351000,329343,3800,205200
2026-04-29,INV0050167,DST001,SP002,OUT00032,PC004,66,24000,0.0931,147470,1584000,1436530,14300,943800
2026-04-12,INV0050168,DST001,SP003,OUT00033,BV011,24,9000,0.0167,3607,216000,212393,5500,132000
2026-04-12,INV0050168,DST001,SP003,OUT00033,SN004,12,9500,0.0429,4891,114000,109109,5700,68400
2026-04-03,INV0050169,DST001,SP004,OUT00034,PC013,162,7000,0.1047,118730,1134000,1015270,4000,648000
2026-04-03,INV0050169,DST001,SP004,OUT00034,SN011,72,8500,0.1291,79009,612000,532991,5000,360000
2026-04-09,INV0050170,DST001,SP005,OUT00035,BV010,6,11000,0.0059,389,66000,65611,6700,40200
2026-04-09,INV0050170,DST001,SP005,OUT00035,PC012,12,6500,0.0437,3409,78000,74591,3800,45600
2026-04-30,INV0050171,DST001,SP001,OUT00036,BV007,12,10000,0.0281,3372,120000,116628,6100,73200
2026-04-30,INV0050171,DST001,SP001,OUT00036,BV015,12,10000,0.0439,5268,120000,114732,6100,73200
2026-04-01,INV0050172,DST001,SP002,OUT00037,SN004,12,9500,0.0234,2668,114000,111332,5700,68400
2026-04-04,INV0050173,DST001,SP003,OUT00038,BV008,78,10000,0.0922,71916,780000,708084,6000,468000
2026-04-01,INV0050174,DST001,SP004,OUT00039,SN002,12,9000,0.0238,2570,108000,105430,5400,64800
2026-04-01,INV0050174,DST001,SP004,OUT00039,PC013,12,7000,0.0462,3881,84000,80119,4000,48000
2026-04-24,INV0050175,DST001,SP002,OUT00042,BV007,24,10000,0.0146,3504,240000,236496,6100,146400
2026-04-30,INV0050176,DST001,SP003,OUT00043,SN010,18,10500,0.0555,10490,189000,178510,6300,113400
2026-04-30,INV0050176,DST001,SP003,OUT00043,BV010,36,11000,0.0512,20275,396000,375725,6700,241200
2026-04-06,INV0050177,DST001,SP005,OUT00045,PC007,30,17000,0.0907,46257,510000,463743,9900,297000
2026-04-06,INV0050177,DST001,SP005,OUT00045,SN015,18,10500,0.0868,16405,189000,172595,6300,113400
2026-04-13,INV0050178,DST001,SP001,OUT00046,PC015,12,18500,0.0337,7481,222000,214519,10800,129600
2026-04-08,INV0050179,DST001,SP002,OUT00047,BV002,12,7500,0.0074,666,90000,89334,4700,56400
2026-04-08,INV0050179,DST001,SP002,OUT00047,BV010,24,11000,0.0298,7867,264000,256133,6700,160800
